name_hotel,location_hotel,Free_Wifi_hotel,rating_hotel_num,rating_hotel_text,rating_hotel_qty,normal_price_hotel,discount_hotel,discount_price_hotel,reward_point_hotel,room,date,city
RedDoorz Plus near Radio Dalam 3,Jakarta Selatan,Free Wifi,7.4,Sangat Baik,9,265473.0,5,221936.0,177,1,2021-08-12,Jakarta
RedDoorz Plus @ Cideng Barat,Jakarta Pusat,Free Wifi,8.9,Luar Biasa,225,353225.0,5,184560.0,147,1,2021-08-12,Jakarta
Smart Hotel Thamrin,Jakarta Pusat,Free Wifi,6.8,Baik,135,395384.0,35,239010.0,191,1,2021-08-12,Jakarta
Capital O 203 Prasada Mansion Sudirman,Jakarta Selatan,Free Wifi,8.4,Luar Biasa,6,362049.0,5,268279.0,214,1,2021-08-12,Jakarta
Apartemen Bassura City by Aparian,Jakarta Timur,Free Wifi,8.6,Luar Biasa,123,379473.0,5,360500.0,288,1,2021-08-12,Jakarta
Coin's Hotel,Jakarta Utara,Free Wifi,9.0,Luar Biasa,42,473264.0,5,332705.0,266,1,2021-08-12,Jakarta
RedDoorz Plus @ Grogol,Jakarta Barat,Free Wifi,9.6,Istimewa,2,288177.0,5,150573.0,120,1,2021-08-12,Jakarta
RedDoorz near Plaza Atrium Senen,Jakarta Pusat,Free Wifi,9.5,Istimewa,11,455258.0,5,237873.0,190,1,2021-08-12,Jakarta
Kantos Guest House,Jakarta Pusat,Free Wifi,9.0,Luar Biasa,93,269076.0,35,174900.0,139,1,2021-08-12,Jakarta
Sans Hotel Fiducia Pondok Gede,Jakarta Timur,Free Wifi,6.1,Luar Biasa,6,557810.0,5,291456.0,233,1,2021-08-12,Jakarta
RedDoorz near RSUD Koja,Jakarta Utara,Free Wifi,8.9,Luar Biasa,6,242895.0,5,219213.0,175,1,2021-08-12,Jakarta
RedDoorz @ Jalan Jaksa,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,44,251843.0,5,131588.0,105,1,2021-08-12,Jakarta
La Boheme Rooms and Coffee,Jakarta Selatan,Free Wifi,9.4,Istimewa,4,1000000.0,24,765000.0,612,1,2021-08-12,Jakarta
RedDoorz Plus @ Kelapa Dua Kebon Jeruk,Jakarta Barat,Free Wifi,8.0,Sangat Baik,56,341052.0,5,178200.0,142,1,2021-08-12,Jakarta
RedDoorz Plus @ Setiabudi Tengah,Jakarta Selatan,Free Wifi,8.4,Luar Biasa,61,331578.0,5,277200.0,221,1,2021-08-12,Jakarta
Kantos Roxy Mas,Jakarta Barat,Free Wifi,9.7,Istimewa,16,136736.0,5,129900.0,103,1,2021-08-12,Jakarta
OYO 1868 J&b Room Pramuka Near RSUPN Dr.Cipto Mangunkusumo,Jakarta Timur,Free Wifi,5.8,Luar Biasa,5,226690.0,5,167978.0,134,1,2021-08-12,Jakarta
RedDoorz Plus near Mangga Besar Station 2,Jakarta Barat,Free Wifi,7.2,Sangat Baik,8,282173.0,5,147436.0,117,1,2021-08-12,Jakarta
"Benoa Sea Suites and VillasBadung,",Badung,Free Wifi,10.0,Istimewa,1,1307368.0,5,409860.0,327,1,2021-08-12,Bali
"Quest San Denpasar by ASTONDenpasar,",Denpasar,Free Wifi,8.6,Luar Biasa,46,197740.0,5,187853.0,150,1,2021-08-12,Bali
"Grand Livio Kuta HotelBadung,",Badung,Free Wifi,9.5,Istimewa,43,894736.0,5,229500.0,183,1,2021-08-12,Bali
"Sense Hotel SeminyakBadung,",Badung,Free Wifi,7.6,Sangat Baik,7,1258947.0,5,203320.0,162,1,2021-08-12,Bali
"Paragon Hotel SeminyakBadung,",Badung,Free Wifi,8.8,Luar Biasa,5,747863.0,35,296528.0,237,1,2021-08-12,Bali
Movenpick Resort & Spa Jimbaran,Badung,Free Wifi,8.6,Luar Biasa,2,1640505.0,5,1558480.0,1246,1,2021-08-12,Bali
"BOSS Legian HotelBadung,",Badung,Free Wifi,8.1,Luar Biasa,155,1000000.0,23,199500.0,159,1,2021-08-12,Bali
"Canggu Dream VillageBadung,",Badung,Free Wifi,9.6,Istimewa,2,630471.0,5,197653.0,158,1,2021-08-12,Bali
Atanaya Kuta,Badung,Free Wifi,9.1,Istimewa,280,1120842.0,5,308792.0,247,1,2021-08-12,Bali
"MaxOneHotels at UbudGianyar,",Gianyar,Free Wifi,8.8,Luar Biasa,19,795076.0,35,232560.0,186,1,2021-08-12,Bali
"Natya Hotel KutaBadung,",Badung,Free Wifi,8.9,Luar Biasa,36,605076.0,35,393300.0,314,1,2021-08-12,Bali
"Kamaniiya Petitenget SeminyakBadung,",Badung,Free Wifi,8.4,Luar Biasa,0,842105.0,5,360000.0,288,1,2021-08-12,Bali
"Grand Inna KutaBadung,",Badung,Free Wifi,8.9,Luar Biasa,20,3764215.0,35,734022.0,587,1,2021-08-12,Bali
"Dee MansionDenpasar,",Denpasar,Free Wifi,7.6,Sangat Baik,19,240892.0,5,146463.0,117,1,2021-08-12,Bali
"FOX Jimbaran BeachBadung,",Badung,Free Wifi,8.3,Luar Biasa,3,915789.0,5,356700.0,285,1,2021-08-12,Bali
"Adiwana Dara Ayu VillasGianyar,",Gianyar,Free Wifi,8.4,Luar Biasa,0,951578.0,5,587600.0,470,1,2021-08-12,Bali
"L Amore Hotel SeminyakBadung,",Badung,Free Wifi,8.4,Luar Biasa,35,394872.0,35,192500.0,154,1,2021-08-12,Bali
Unknown,Tabanan,Free Wifi,9.4,Istimewa,3,1029552.0,5,978075.0,782,1,2021-08-12,Bali
"Solaris Hotel KutaBadung,",Badung,Free Wifi,8.6,Luar Biasa,111,236842.0,5,123750.0,99,1,2021-08-12,Bali
"Siesta Legian HotelBadung,",Badung,Free Wifi,9.2,Istimewa,125,631578.0,5,204000.0,163,1,2021-08-12,Bali
"Tijili SeminyakBadung,",Badung,Free Wifi,9.0,Luar Biasa,13,1563157.0,5,445500.0,356,1,2021-08-12,Bali
Hilton,Badung,No,8.7,Luar Biasa,7,1481027.0,13,1285916.0,257,1,2021-08-12,Bali
"Adiwana Monkey ForestGianyar,",Gianyar,Free Wifi,8.4,Luar Biasa,0,950526.0,5,352170.0,281,1,2021-08-12,Bali
"Adiwana Arkara ResortGianyar,",Gianyar,Free Wifi,8.4,Luar Biasa,0,2098606.0,5,996838.0,797,1,2021-08-12,Bali
"Singaraja HotelBuleleng,",Buleleng,Free Wifi,7.8,Sangat Baik,11,631578.0,5,270000.0,216,1,2021-08-12,Bali
"Anja JimbaranBadung,",Badung,Free Wifi,8.4,Luar Biasa,0,2769230.0,35,630000.0,504,1,2021-08-12,Bali
"Rimbun Canggu HotelBadung,",Badung,Free Wifi,10.0,Istimewa,2,1164307.0,35,317856.0,254,1,2021-08-12,Bali
Pure,Badung,Free Wifi,8.4,Luar Biasa,0,14736842.0,5,10500000.0,8400,1,2021-08-12,Bali
"HARRIS Hotel Kuta GalleriaBadung,",Badung,Free Wifi,8.6,Luar Biasa,10,420915.0,5,279909.0,223,1,2021-08-12,Bali
The Crystal Luxury Bay Resort Nusa Dua -,Badung,Free Wifi,8.7,Luar Biasa,4,1357894.0,5,536124.0,428,1,2021-08-12,Bali
"Adiwana Unagi SuitesGianyar,",Gianyar,Free Wifi,8.4,Luar Biasa,0,1389056.0,5,659802.0,527,1,2021-08-12,Bali
"Watu Jineng by WizZeLaKlungkung,",Klungkung,Free Wifi,8.4,Luar Biasa,0,526315.0,5,500000.0,400,1,2021-08-12,Bali
"Adiwana SuwetaGianyar,",Gianyar,Free Wifi,8.4,Luar Biasa,0,1110526.0,5,527500.0,422,1,2021-08-12,Bali
"Adiwana Resort JembawanGianyar,",Gianyar,Free Wifi,10.0,Istimewa,1,2368421.0,5,877500.0,702,1,2021-08-12,Bali
"Adiwana Svarga LokaGianyar,",Gianyar,Free Wifi,8.4,Luar Biasa,0,731578.0,5,333600.0,266,1,2021-08-12,Bali
Stark Boutique Hotel and Spa,Badung,Free Wifi,8.6,Luar Biasa,39,770786.0,35,225455.0,180,1,2021-08-12,Bali
Unknown,Badung,Free Wifi,8.3,Luar Biasa,81,658000.0,13,201500.0,161,1,2021-08-12,Bali
"Moritz Palm VillaBadung,",Badung,Free Wifi,8.4,Luar Biasa,0,12736842.0,5,6050000.0,4840,1,2021-08-12,Bali
"Grand Whiz Hotel Nusa DuaBadung,",Badung,Free Wifi,9.0,Luar Biasa,12,1466526.0,5,696600.0,557,1,2021-08-12,Bali
