name_hotel,location_hotel,Free_Wifi_hotel,rating_hotel_num,rating_hotel_text,rating_hotel_qty,normal_price_hotel,discount_hotel,discount_price_hotel,reward_point_hotel,room,date
Kejora Homestay,Jakarta Utara,Free Wifi,9.4,Istimewa,2,346.153,35,180.000,144,1,08-12-2021
LeGreen Home Tebet,Jakarta Selatan,Free Wifi,7.2,Sangat Baik,71,600.000,10,324.000,259,1,08-12-2021
Goodrich Suites by Artotel,Jakarta Selatan,Free Wifi,6.3,,6.3,2.368.421,5,1.687.500,1350,1,08-12-2021
Cordela Senen ,Jakarta Pusat,No,8.9,Luar Biasa,135,347.368,5,330.000,264,1,08-12-2021
LeGreen Suite Senayan,Jakarta Pusat,Free Wifi,7.9,Sangat Baik,106,500.000,12,218.240,174,1,08-12-2021
Nusalink Puri Maju Near Jelambar,Jakarta Barat,Free Wifi,8.0,Sangat Baik,1,472.000,5,246.620,197,1,08-12-2021
Nusalink AMS Near Mangga Besar,Jakarta Barat,Free Wifi,,,,350.526,5,183.150,146,1,08-12-2021
Wonderloft Hostel ,Jakarta Barat,Free Wifi,8.4,Luar Biasa,5,333.473,5,228.096,182,1,08-12-2021
Nusalink Elani Syariah Near Senen,Jakarta Pusat,Free Wifi,,,,420.000,5,219.450,175,1,08-12-2021
NYENYAK MRT Lebak Bulus I Simatupang,Jakarta Selatan,Free Wifi,9.8,Istimewa,12,221.052,5,210.000,168,1,08-12-2021
Apartment Bassura City by Travelibu,Jakarta Timur,Free Wifi,,,,361.714,5,240.540,192,1,08-12-2021
KLINPOD Hotel,Jakarta Barat,Free Wifi,,,,271.393,5,193.368,154,1,08-12-2021
Kyriad Hotel Fatmawati ,Jakarta Selatan,Free Wifi,9.2,Istimewa,35,646.324,35,336.089,268,1,08-12-2021
RedDoorz Plus near Plaza Blok M,Jakarta Selatan,Free Wifi,8.8,Luar Biasa,15,259.736,5,222.075,177,1,08-12-2021
Green Bamboo Residence,Jakarta Selatan,Free Wifi,7.9,Sangat Baik,255,232.973,5,221.325,177,1,08-12-2021
Arthama Hotel Wahid Hasyim ,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,32,600.000,7,459.200,367,1,08-12-2021
Park 5 Simatupang,Jakarta Selatan,Free Wifi,9.2,Istimewa,465,700.000,30,490.900,392,1,08-12-2021
Hotel 55 International,Jakarta Barat,Free Wifi,8.0,Sangat Baik,253,188.421,5,179.000,143,1,08-12-2021
RedDoorz Plus near RSCM ,Jakarta Pusat,Free Wifi,8.0,Sangat Baik,15,296.421,5,154.880,123,1,08-12-2021
Hotel Belvena,Jakarta Barat,Free Wifi,6.9,Baik,40,136.315,5,129.500,103,1,08-12-2021
Feodora Hotel Grogol,Jakarta Barat,Free Wifi,7.7,Sangat Baik,87,256.475,5,243.652,194,1,08-12-2021
RedDoorz Plus @ Jalan Pemuda ,Jakarta Timur,Free Wifi,7.8,Sangat Baik,72,366.105,5,191.290,153,1,08-12-2021
Penthouse Hotel,Jakarta Barat,Free Wifi,8.4,Luar Biasa,6,147.368,5,140.000,112,1,08-12-2021
Rumanami Residence,Jakarta Selatan,Free Wifi,9.4,Istimewa,58,600.000,33,405.000,324,1,08-12-2021
Fieris Hotel,Jakarta Timur,Free Wifi,10I,stimewa,1,552.631,5,525.000,420,1,08-12-2021
Titi Guest House,Jakarta Barat,Free Wifi,9.0,Luar Biasa,7,157.894,5,150.000,120,1,08-12-2021
RedDoorz near RS Husada,Jakarta Pusat,Free Wifi,7.1,Sangat Baik,21,233.525,5,122.017,97,1,08-12-2021
Flamboyan Residence,Jakarta Selatan,Free Wifi,8.0,Sangat Baik,4,400.000,35,260.000,208,1,08-12-2021
RedDoorz near Central Park Mall,Jakarta Barat,Free Wifi,9.2,Istimewa,7,253.412,5,132.408,105,1,08-12-2021
Hotel Rivoli Senen ,Jakarta Pusat,Free Wifi,8.5,Luar Biasa,146,463.128,5,360.777,288,1,08-12-2021
OYO 115 Portal Residence,Jakarta Barat,Free Wifi,9.1,Istimewa,12,227.366,5,215.998,172,1,08-12-2021
